suburb,state,lga
ARGALONG,NSW,SNOWY VALLEYS (AREA)
ARGENTON,NSW,LAKE MACQUARIE (CITY)
ARGENTS HILL,NSW,NAMBUCCA (AREA)
ARGOON,NSW,MURRUMBIDGEE (AREA)
ARGOON,QLD,BANANA (SHIRE)
ARGYLE,VIC,GREATER BENDIGO (CITY)
ARGYLE,WA,DONNYBROOK-BALINGUP (SHIRE)
ARGYLL,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
ARIAH PARK,NSW,BLAND (AREA)
ARKAROOLA VILLAGE,SA,UNINCORPORATED
ARKELL,NSW,BATHURST REGIONAL (AREA)
ARKSTONE,NSW,OBERON (AREA)
ARMADALE,VIC,STONNINGTON (CITY)
ARMADALE,WA,ARMADALE (CITY)
ARMAGH,SA,CLARE AND GILBERT VALLEYS (DISTRICT COUNCIL)
ARMATREE,NSW,GILGANDRA (AREA)
ARMIDALE,NSW,ARMIDALE REGIONAL (AREA)
ARMSTRONG,VIC,ARARAT (RURAL CITY)
ARMSTRONG BEACH,QLD,MACKAY (REGIONAL COUNCIL)
ARMSTRONG CREEK,QLD,MORETON BAY (REGIONAL COUNCIL)
ARMSTRONG CREEK,VIC,GREATER GEELONG (CITY)
ARNCLIFFE,NSW,ROCKDALE (CITY)
ARNDELL PARK,NSW,BLACKTOWN (CITY)
ARNO BAY,SA,CLEVE (DISTRICT COUNCIL)
ARNOLD,NT,ROPER GULF (REGIONAL COUNCIL)
ARNOLD,VIC,LODDON (SHIRE)
ARNOLD WEST,VIC,LODDON (SHIRE)
AROONA,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
ARRAWARRA,NSW,COFFS HARBOUR (CITY)
ARRAWARRA HEADLAND,NSW,COFFS HARBOUR (CITY)
ARRIGA,QLD,MAREEBA (SHIRE)
ARRINO,WA,THREE SPRINGS (SHIRE)
ARROWSMITH,WA,IRWIN (SHIRE)
ARROWSMITH EAST,WA,THREE SPRINGS (SHIRE)
ARTARMON,NSW,WILLOUGHBY (CITY)
ARTHUR RIVER,TAS,CIRCULAR HEAD (MUNICIPALITY)
ARTHUR RIVER,WA,WEST ARTHUR (SHIRE)
ARTHURS CREEK,VIC,NILLUMBIK (SHIRE)
ARTHURS LAKE,TAS,CENTRAL HIGHLANDS (MUNICIPALITY)
ARTHURS SEAT,VIC,MORNINGTON PENINSULA (SHIRE)
ARTHURTON,SA,YORKE PENINSULA (DISTRICT COUNCIL)
ARTHURVILLE,NSW,WESTERN PLAINS REGIONAL (AREA)
ARUMBERA,NT,ALICE SPRINGS (TOWN)
ARUMPO,NSW,BALRANALD (AREA)
ARUNDEL,QLD,GOLD COAST (CITY)
ASCOT,QLD,BRISBANE (CITY)
ASCOT,VIC,GREATER BENDIGO (CITY)
ASCOT,WA,BELMONT (CITY)
ASCOT PARK,SA,MARION (CITY)
ASCOT VALE,VIC,MOONEE VALLEY (CITY)
ASHBOURNE,SA,ALEXANDRINA (DISTRICT COUNCIL)
ASHBOURNE,VIC,MACEDON RANGES (SHIRE)
ASHBURTON,VIC,BOROONDARA (CITY)
ASHBURY,NSW,INNER WEST (AREA)
ASHBY,NSW,CLARENCE VALLEY (AREA)
ASHBY,WA,WANNEROO (CITY)
ASHBY HEIGHTS,NSW,CLARENCE VALLEY (AREA)
ASHBY ISLAND,NSW,CLARENCE VALLEY (AREA)
ASHCROFT,NSW,LIVERPOOL (CITY)
ASHENDON,WA,ARMADALE (CITY)
ASHFIELD,NSW,INNER WEST (AREA)
ASHFIELD,QLD,BUNDABERG (REGIONAL COUNCIL)
ASHFIELD,WA,BASSENDEAN (TOWN)
ASHFORD,NSW,INVERELL (AREA)
ASHFORD,SA,WEST TORRENS (CITY)
ASHGROVE,QLD,BRISBANE (CITY)
ASHLEY,NSW,MOREE PLAINS (AREA)
ASHMONT,NSW,WAGGA WAGGA (CITY)
ASHMORE,QLD,GOLD COAST (CITY)
ASHTON,SA,ADELAIDE HILLS (DISTRICT COUNCIL)
ASHTONFIELD,NSW,MAITLAND (CITY)
ASHVILLE,SA,THE COORONG (DISTRICT COUNCIL)
ASHWELL,QLD,IPSWICH (CITY)
ASHWOOD,VIC,MONASH (CITY)
ASPENDALE,VIC,KINGSTON (CITY)
ASPENDALE GARDENS,VIC,KINGSTON (CITY)
ASPLEY,QLD,BRISBANE (CITY)
ASQUITH,NSW,HORNSBY (AREA)
ATHELSTONE,SA,CAMPBELLTOWN (CITY)
ATHERTON,QLD,TABLELANDS (REGIONAL COUNCIL)
ATHLONE,VIC,BAW BAW (SHIRE)
ATHOL,QLD,TOOWOOMBA (REGIONAL COUNCIL)
ATHOL PARK,SA,CHARLES STURT (CITY)
ATHOLWOOD,NSW,INVERELL (AREA)
ATITJERE,NT,CENTRAL DESERT (REGIONAL COUNCIL)
ATKINSONS DAM,QLD,SOMERSET (REGIONAL COUNCIL)
ATTADALE,WA,MELVILLE (CITY)
ATTUNGA,NSW,TAMWORTH REGIONAL (AREA)
ATTWOOD,VIC,HUME (CITY)
ATWELL,WA,COCKBURN (CITY)
AUBIGNY,QLD,TOOWOOMBA (REGIONAL COUNCIL)
AUBIN GROVE,WA,COCKBURN (CITY)
AUBREY,VIC,YARRIAMBIACK (SHIRE)
AUBURN,NSW,CUMBERLAND (AREA)
AUBURN,QLD,WESTERN DOWNS (REGIONAL COUNCIL)
AUBURN,SA,CLARE AND GILBERT VALLEYS (DISTRICT COUNCIL)
AUBURN VALE,NSW,INVERELL (AREA)
AUCHENFLOWER,QLD,BRISBANE (CITY)
AUCHMORE,VIC,LODDON (SHIRE)
AUGATHELLA,QLD,MURWEH (SHIRE)
AUGUSTA,WA,AUGUSTA-MARGARET RIVER (SHIRE)
AUGUSTINE HEIGHTS,QLD,IPSWICH (CITY)
AULDANA,SA,BURNSIDE (CITY)
AURUKUN,QLD,AURUKUN (SHIRE)
AUSTINMER,NSW,WOLLONGONG (CITY)
AUSTINS FERRY,TAS,GLENORCHY (CITY)
AUSTINVILLE,QLD,GOLD COAST (CITY)
AUSTRAL,NSW,LIVERPOOL (CITY)
AUSTRAL EDEN,NSW,KEMPSEY (AREA)
AUSTRALIA PLAINS,SA,GOYDER (DISTRICT COUNCIL)
AUSTRALIND,WA,DARDANUP (SHIRE)
AVALON,VIC,GREATER GEELONG (CITY)
AVALON BEACH,NSW,NORTHERN BEACHES (AREA)
AVELEY,WA,SWAN (CITY)
AVENEL,VIC,MITCHELL (SHIRE)
AVENELL HEIGHTS,QLD,BUNDABERG (REGIONAL COUNCIL)
